thermal_efficiency_percent,net_specific_power_kw_per_kg
30.811117176454573,25675.89839259649
30.81143384088253,25675.539398195815
30.8114577812448,25675.47566807149
30.812092850376104,25674.280166938504
30.812185172394713,25674.063315176045
30.81234477560555,25673.70291958125
30.812647201141257,25672.500084975956
30.813775205171183,25671.50031609466
30.81509592123102,25669.052240893434
30.815375709106863,25668.779310510392
30.81596525894262,25666.955827062575
30.81634574622197,25666.43787416612
30.816374357249842,25665.342578173695
30.818933155007656,25662.953474116144
30.819807015802965,25659.558891231845
30.822178275993124,25657.196855726805
30.82390039178169,25654.527447277975
30.824953875968735,25652.610164274483
30.82725683097907,25646.701532426745
30.82921148699515,25645.666948921975
30.829481248618464,25644.688163129318
30.830231646341424,25643.615276104527
30.83076852948899,25643.054095303192
30.831214452581037,25638.080823497956
30.832995603443266,25637.85857379703
30.83665140949689,25630.57233564104
30.837196392442323,25630.06871607734
30.838555738885553,25629.79413228068
30.839709505601746,25627.79554338933
30.840265292637508,25627.16810724358
30.841054085329173,25624.728703678844
30.843157445510027,25622.08002876251
30.844355276322048,25618.188947407547
30.84522448903772,25614.860118428038
30.847924661329913,25608.188833884684
30.85160682607522,25606.318256451676
30.854180576068835,25599.145928864487
30.854345600530586,25589.002370596856
30.86067766578053,25588.63646070256
30.863998084269426,25585.91580005357
30.86649399018594,25575.53078780188
30.870633149782133,25574.666055379806
30.875540154052477,25567.615784492107
30.876328732965995,25563.845551659928
30.88115856440027,25558.06689424078
30.8816961056252,25556.970867016378
30.882124483326507,25552.814511163844
30.883317287906348,25552.013047967015
30.886080828674555,25544.071700536962
30.889055593415627,25542.102481356695
30.89592888295048,25533.35762335967
30.90101670190307,25524.992549159742
30.903945208989064,25516.398834874286
30.90523889975591,25516.293300132358
30.908328735861986,25507.765459919465
30.910169005720523,25498.805115101244
30.914126019843124,25496.595675338198
30.917884969215017,25495.22396115628
30.92074490578085,25479.057546993405
30.92982923633148,25476.32310704532
30.93164879818156,25473.153174117026
30.934608000076118,25468.095542577095
30.938719147307236,25461.29306191859
30.93880627093811,25460.65250740519
30.939360675421128,25458.448664049243
30.942792708140544,25447.1366716589
30.95283879440175,25432.621200880174
30.958144286428528,25427.186188695825
30.959420041013935,25425.204511204716
30.963723493164746,25418.632453105627
30.967422051317968,25412.642929945796
30.968470168283385,25408.24108414393
30.96875364374029,25407.778855819008
30.977950951038746,25394.662648683876
30.98132532434999,25380.605013913617
30.986256510770588,25380.53377398579
30.992148100047,25370.55055582501
30.995348880100188,25363.499891671097
30.99642522116275,25363.27594988992
30.99822764503606,25358.280400155072
31.00013854711982,25356.111803121923
31.00389671818538,25350.706235498314
31.00391456918311,25349.954098080307
31.00883197052098,25341.64296064695
31.010149171647996,25338.073839325105
31.010647722625944,25337.25850673897
31.013078327606685,25334.921375819882
31.013535669639936,25334.0951839205
31.023389924115648,25317.25603847159
31.02621416018038,25312.651842455147
31.026264946965647,25309.816939664262
31.02793047934364,25307.45761822083
31.03097321713421,25304.58502421393
31.032723168711186,25300.529128542144
31.033742916727405,25297.36055807048
31.03613483472226,25294.532292273834
31.037283379698422,25291.072577357132
31.03886419786711,25282.228934098664
31.047848334456944,25271.243040870184
31.0518510047035,25268.89649153298
31.05185558217559,25264.276032422284
31.059175581479558,25255.321598220035
31.06383096986746,25248.146406113287
31.06554872967805,25244.381385009518
31.06674076576728,25243.09936266237
31.067534393171403,25232.637399571886
31.0743888719957,25229.069368097742
31.07495055538086,25224.940965789065
31.076168225544055,25222.27783828664
31.078981492655018,25222.251762886954
31.080318606323168,25219.724242717628
31.083626158246787,25206.942853817483
31.086194904640596,25206.87328312688
31.08783489693866,25204.49537244334
31.09222610106897,25198.887439629947
31.093237481045115,25197.283038948906
31.09406878617527,25195.84133996152
31.09532527553197,25193.98461825631
31.100252624426858,25183.706435937358
31.10935946633633,25167.514366325224
31.11203090118365,25165.627835263203
31.11573330345843,25156.805550224522
31.11902996428264,25152.592887615596
31.120668243949833,25148.759062580357
31.121298540647764,25145.193391713205
31.12227405550184,25143.07388945408
31.12598715188642,25141.37007589212
31.126721728841154,25139.866534520268
31.13005542004712,25131.653704632972
31.133852087863715,25126.27422864243
31.13798344014559,25120.043303579336
31.145918589084857,25107.06497278333
31.146065838502697,25103.4203870133
31.149711628852074,25099.779973039036
31.150561040707167,25094.697612679316
31.15637665282593,25088.111346810972
31.157473358729384,25085.492357073977
31.160246763286274,25077.263743716507
31.162296758653703,25073.51052527119
31.167388814728003,25070.57466011574
31.171565535399846,25060.710693385117
31.173691235218513,25055.616326389907
31.17597146962952,25055.458382141973
31.176482193976778,25053.273244481243
31.17725032164419,25046.051504772007
31.18205750751973,25043.981855702386
31.182949593555726,25043.68060900739
31.183332502055077,25042.997047113455
31.191859350817317,25027.815838074803
31.19429348227768,25020.24422299658
31.195927978381903,25016.970882521113
31.197706811992198,25015.600338918728
31.199263898750715,25014.279012134717
31.201143232347476,25012.19659345258
31.20525671971148,25003.246546189555
31.20665902112733,25002.60488678035
31.20796584063108,25000.111601908702
31.21196205720414,24993.02609605749
31.21440213725466,24989.312150899194
31.214747274456293,24988.71546413313
31.215032400986253,24988.226907934164
31.21527907686774,24984.664563050846
31.222279844325907,24970.50843345809
31.22662384096076,24967.10170082926
31.23019854891333,24961.8143506555
31.230743768897717,24960.301438619957
