crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
-0.06108652382,2.300701121e-05,0.04781212707,2472.892752,625.8325841,415.0217663,5.350675962,0.3838305988,4.137838392
-0.05235987756,2.293281997e-05,0.0476579462,2506.164667,632.2076545,420.7562729,5.556766556,0.3291636462,4.741152643
-0.0436332313,2.287002862e-05,0.04752745605,2538.955845,638.7259211,426.6422031,5.76021243,0.2728383858,5.608393586
-0.03490658504,2.281864422e-05,0.04742067133,2571.187956,645.3812552,432.6752539,5.960916755,0.2148907952,6.966235051
-0.02617993878,2.277867257e-05,0.04733760406,2602.783779,652.1675543,438.8510614,6.158784007,0.1553647025,9.404005592
-0.01745329252,2.275011818e-05,0.04727826361,2633.667658,659.0787551,445.1652101,6.353720011,0.0943116346,15.08253467
-0.00872664626,2.273298425e-05,0.04724265666,2663.76596,666.1088458,451.6132418,6.545631988,0.03179059535,43.44915488
0,2.272727273e-05,0.04723078723,2693.007507,673.2518768,458.1906644,6.734428599,-0.03213222296,-41.62732426
0.00872664626,2.273298425e-05,0.04724265666,2721.323997,680.5019713,464.8929607,6.920019987,-0.09738379271,-13.26153818
0.01745329252,2.275011818e-05,0.04727826361,2748.650395,687.8533344,471.7155969,7.10231782,-0.1638846637,-7.584676934
0.02617993878,2.277867257e-05,0.04733760406,2774.925294,695.3002614,478.6540301,7.281235334,-0.2315494307,-5.149407039
0.03490658504,2.281864422e-05,0.04742067133,2800.091243,702.8371446,485.703716,7.456687375,-0.3002872492,-3.794897654
0.0436332313,2.287002862e-05,0.04752745605,2824.095046,710.4584797,492.8601161,7.628590437,-0.3700023937,-2.931818279
0.05235987756,2.293281997e-05,0.0476579462,2846.888004,718.158871,500.1187042,7.796862702,-0.4405948506,-2.333492494
0.06108652382,2.300701121e-05,0.04781212707,2868.426138,725.9330354,507.474972,7.961424083,-0.5119609383,-1.894128753
0.06981317008,2.309259398e-05,0.04798998128,2888.670346,733.7758058,514.9244352,8.122196258,-0.583993947,-1.557711824
0.07853981634,2.318955862e-05,0.0481914888,2907.586537,741.6821329,522.4626375,8.279102707,-0.6565847896,-1.291804928
0.0872664626,2.329789422e-05,0.04841662694,2925.145704,749.6470873,530.0851554,8.432068751,-0.7296226575,-1.0763221
0.09599310886,2.341758859e-05,0.04866537034,2941.323964,757.6658592,537.7876015,8.581021588,-0.8029956718,-0.8981584611
0.1047197551,2.354862823e-05,0.04893769098,2956.102548,765.733759,545.5656274,8.725890323,-0.8765915237,-0.7483979668
0.1134464014,2.36909984e-05,0.0492335582,2969.467761,773.8462156,553.4149262,8.866606006,-0.9502980976,-0.6207621639
0.1221730476,2.384468306e-05,0.04955293871,2981.410889,781.998775,561.3312341,9.003101666,-1.02400407,-0.5107008417
0.1308996939,2.400966494e-05,0.04989579655,2991.928081,790.1870982,569.3103317,9.135312336,-1.09759948,-0.4148346908
0.1396263402,2.418592545e-05,0.05026209315,3001.020196,798.4069582,577.3480446,9.263175093,-1.170976263,-0.3306006305
0.1483529864,2.437344477e-05,0.05065178731,3008.692615,806.6542363,585.4402434,9.38662908,-1.24402875,-0.2560187367
0.1570796327,2.457220182e-05,0.05106483519,3014.955033,814.924919,593.5828437,9.50561554,-1.316654122,-0.1895347584
0.1658062789,2.478217425e-05,0.05150119035,3019.821224,823.2150933,601.7718051,9.620077842,-1.388752823,-0.1299110881
0.1745329252,2.500333845e-05,0.05196080376,3023.308793,831.5209427,610.0031302,9.729961508,-1.460228923,-0.07614963907
0.1832595715,2.523566957e-05,0.05244362377,3025.438906,839.8387419,618.2728627,9.835214239,-1.530990444,-0.02743624302
0.1919862177,2.547914152e-05,0.05294959613,3026.236015,848.1648527,626.5770865,9.935785941,-1.600949626,0.01690012955
0.200712864,2.573372696e-05,0.05347866403,3025.72757,856.4957183,634.9119229,10.03162875,-1.670023154,0.05741774023
0.2094395102,2.59993973e-05,0.0540307681,3023.943729,864.8278587,643.2735285,10.12269704,-1.738132345,0.09458501961
0.2181661565,2.627612275e-05,0.05460584636,3020.91707,873.1578652,651.6580931,10.20894748,-1.805203274,0.1287981119
0.2268928028,2.656387225e-05,0.05520383432,3016.682301,881.4823956,660.0618374,10.29033901,-1.871166879,0.160394445
0.235619449,2.686261354e-05,0.05582466493,3011.27597,889.7981691,668.4810095,10.3668329,-1.935959007,0.1896633539
0.2443460953,2.717231315e-05,0.05646826861,3004.736195,898.1019611,676.9118834,10.43839274,-1.999520437,0.2168544601
0.2530727415,2.749293638e-05,0.05713457327,2997.10239,906.3905986,685.3507557,10.50498446,-2.061796862,0.2421843549
0.2617993878,2.782444733e-05,0.05782350428,2988.415007,914.6609558,693.7939433,10.56657639,-2.12273884,0.2658419699
0.2705260341,2.81668089e-05,0.05853498455,2978.715294,922.909949,702.2377808,10.62313919,-2.182301716,0.2879929271
