engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,heat_addition_angle_degrees,thermal_efficiency_percent,net_specific_power_kw_per_kg,work_consumption_ratio,maximum_pressure_kpa,maximum_temperature_k
500,-120,8,3.2,7.5,3.998533078,166.6055449,0.9348978707,4917.621546,1846.123985
1000,-120,8,3.2,15,4.509807853,375.8173211,0.9263600155,4906.420748,1840.229608
1500,-120,8,3.2,22.5,5.066040385,633.2550482,0.9169306276,4884.105939,1833.283851
2000,-120,8,3.2,30,5.66892354,944.82059,0.9067159064,4870.083044,1826.281141
2500,-120,8,3.2,37.5,6.320149042,1316.697717,0.8955099372,4846.344452,1818.262173
3000,-120,8,3.2,45,7.021228584,1755.307146,0.883311847,4819.482291,1809.553718
3500,-120,8,3.2,52.5,7.773379332,2267.235639,0.8701535355,4796.049527,1800.484641
4000,-120,8,3.2,60,8.577387795,2859.129265,0.8559125894,4769.238412,1790.688829
4500,-120,8,3.2,67.5,9.433424068,3537.534026,0.8406541655,4745.728448,1780.512839
5000,-120,8,3.2,75,10.34077407,4308.655862,0.8242615426,4718.986225,1769.619834
5500,-120,8,3.2,82.5,11.29744447,5177.995383,0.8065966811,4682.738822,1757.699274
6000,-120,8,3.2,90,12.29958269,6149.791344,0.7880379491,4654.920664,1745.730953
6500,-120,8,3.2,97.5,13.34065923,7226.190416,0.7683811119,4621.444853,1733.04182
7000,-120,8,3.2,105,14.41042537,8406.081465,0.7478574686,4586.459314,1719.95567
7500,-120,8,3.2,112.5,15.49385921,9683.662009,0.726670351,4548.611204,1706.557958
8000,-120,8,3.2,120,16.57067545,11047.11697,0.7054212904,4515.964897,1693.486837
8500,-120,8,3.2,127.5,17.61623773,12478.16839,0.6843784346,4463.635173,1676.252214
9000,-120,8,3.2,135,18.6042768,13953.2076,0.6641178552,4384.530038,1652.168713
9500,-120,8,3.2,142.5,19.51060563,15445.89612,0.6450465885,4288.257868,1623.206427
10000,-120,8,3.2,150,20.31623,16930.19166,0.6274492732,4181.668303,1590.933806
500,-96,8,3.2,7.5,8.115079152,338.128298,0.8641561646,4787.19961,1796.455845
1000,-96,8,3.2,15,8.892307965,741.0256637,0.8503986723,4765.782675,1787.21852
1500,-96,8,3.2,22.5,9.722334254,1215.291782,0.835482655,4738.770072,1777.127192
2000,-96,8,3.2,30,10.60556424,1767.594039,0.8194135099,4709.779674,1766.365093
2500,-96,8,3.2,37.5,11.54194143,2404.571131,0.8021716757,4679.826429,1754.984026
3000,-96,8,3.2,45,12.53053582,3132.633956,0.783700486,4647.405693,1742.912619
3500,-96,8,3.2,52.5,13.56914047,3957.665969,0.7638899623,4608.598205,1729.965447
4000,-96,8,3.2,60,14.65370432,4884.568105,0.7431484339,4578.622965,1716.983612
4500,-96,8,3.2,67.5,15.77752188,5916.570703,0.7211071392,4540.099213,1703.120886
5000,-96,8,3.2,75,16.93013997,7054.224986,0.6981285557,4501.227962,1688.917073
5500,-96,8,3.2,82.5,18.096079,8294.036208,0.6745702204,4464.675674,1674.675083
6000,-96,8,3.2,90,19.25379777,9626.898883,0.650750669,4427.835017,1660.484602
6500,-96,8,3.2,97.5,20.37580522,11036.8945,0.6272224675,4389.732593,1646.411767
7000,-96,8,3.2,105,21.43091919,12501.36953,0.604693489,4319.659345,1625.908424
7500,-96,8,3.2,112.5,22.38864077,13992.90048,0.5837508074,4216.336407,1597.853839
8000,-96,8,3.2,120,23.22393589,15482.62393,0.5647739001,4094.121802,1564.739364
8500,-96,8,3.2,127.5,23.92029576,16943.54283,0.5479535533,3962.697412,1528.569583
9000,-96,8,3.2,135,24.47029645,18352.72234,0.5333302434,3828.488622,1490.834356
9500,-96,8,3.2,142.5,24.87433007,19692.17797,0.5208403059,3696.202807,1452.651829
10000,-96,8,3.2,150,25.13858717,20948.82264,0.5103575228,3567.710073,1414.861699
500,-72,8,3.2,7.5,14.10912895,587.8803727,0.7536243248,4594.559925,1723.550655
1000,-72,8,3.2,15,15.17888299,1264.906916,0.7328264797,4558.241304,1710.382275
1500,-72,8,3.2,22.5,16.29803476,2037.254345,0.7107260033,4520.828597,1696.618399
2000,-72,8,3.2,30,17.46159562,2910.265937,0.6875154609,4486.770129,1682.544031
2500,-72,8,3.2,37.5,18.66206249,3887.929686,0.6628323546,4442.764923,1667.534008
3000,-72,8,3.2,45,19.8880843,4972.021075,0.6374504874,4405.83826,1652.605496
3500,-72,8,3.2,52.5,21.12301516,6160.879422,0.6112894016,4365.763101,1637.393118
4000,-72,8,3.2,60,22.3434982,7447.832732,0.5848367089,4323.985017,1622.220447
4500,-72,8,3.2,67.5,23.51888149,8819.58056,0.5590233667,4286.855666,1607.750836
5000,-72,8,3.2,75,24.6127903,10255.32929,0.5345113741,4243.975335,1593.089537
5500,-72,8,3.2,82.5,25.58773884,11727.71363,0.5121928545,4144.633844,1569.438007
6000,-72,8,3.2,90,26.41164127,13205.82063,0.4926252237,4004.164618,1537.851046
6500,-72,8,3.2,97.5,27.06317589,14659.22028,0.4759836409,3844.971197,1501.473336
7000,-72,8,3.2,105,27.53367224,16061.30881,0.4622107134,3680.812814,1462.802484
7500,-72,8,3.2,112.5,27.82568483,17391.05302,0.451114728,3519.63709,1423.693913
8000,-72,8,3.2,120,27.94992318,18633.28212,0.442441586,3366.011047,1385.456142
8500,-72,8,3.2,127.5,27.92205133,19778.11969,0.4359213006,3222.120081,1349.084956
9000,-72,8,3.2,135,27.76010397,20820.07798,0.4312941973,3088.824386,1315.318048
9500,-72,8,3.2,142.5,27.48268003,21757.12169,0.4283233561,2966.063484,1284.754619
10000,-72,8,3.2,150,27.10780457,22589.83714,0.4267988218,2853.498183,1257.836048
500,-48,8,3.2,7.5,21.93048261,913.7701086,0.5937119725,4335.194962,1627.202304
1000,-48,8,3.2,15,23.20433007,1933.694173,0.5660249188,4297.749077,1611.67595
1500,-48,8,3.2,22.5,24.47628148,3059.535185,0.5375708925,4255.229182,1595.875001
2000,-48,8,3.2,30,25.71961769,4286.602948,0.5092033109,4213.984158,1580.420961
2500,-48,8,3.2,37.5,26.89956457,5604.075952,0.4817743754,4175.332137,1565.757159
3000,-48,8,3.2,45,27.97411983,6993.529956,0.4560933594,4136.461155,1552.187052
3500,-48,8,3.2,52.5,28.89871032,8428.79051,0.4339919637,4082.503717,1537.841823
4000,-48,8,3.2,60,29.63430544,9878.101814,0.4157011871,3931.012573,1512.406056
4500,-48,8,3.2,67.5,30.15554867,11308.33075,0.4014494322,3730.599394,1479.100021
5000,-48,8,3.2,75,30.45458225,12689.40927,0.3908551711,3517.157438,1441.962613
5500,-48,8,3.2,82.5,30.53940285,13997.2263,0.3834264032,3309.507868,1404.016249
6000,-48,8,3.2,90,30.42903076,15214.51538,0.3786796039,3116.66287,1367.294371
6500,-48,8,3.2,97.5,30.14832656,16330.34355,0.3761850713,2942.082882,1333.053553
7000,-48,8,3.2,105,29.72398088,17338.98884,0.3755789887,2785.829393,1302.074045
7500,-48,8,3.2,112.5,29.1819633,18238.72706,0.3765606141,2647.177191,1274.732744
8000,-48,8,3.2,120,28.5461471,19030.76473,0.3788837993,2524.558659,1251.145307
8500,-48,8,3.2,127.5,27.83771802,19718.3836,0.3823472936,2416.172218,1231.198943
9000,-48,8,3.2,135,27.07504738,20306.28553,0.3867857619,2320.435914,1214.679078
9500,-48,8,3.2,142.5,26.27381333,20800.10222,0.3920621793,2235.758547,1201.312668
10000,-48,8,3.2,150,25.44723852,21206.0321,0.3980616784,2160.653992,1190.788778
500,-24,8,3.2,7.5,30.11241379,1254.683908,0.4039714944,4065.202598,1525.447623
1000,-24,8,3.2,15,31.05562179,2587.968482,0.3805066929,4035.579241,1513.723391
1500,-24,8,3.2,22.5,31.80654399,3975.817999,0.3614610539,4010.746747,1504.310939
2000,-24,8,3.2,30,32.32259062,5387.098437,0.3481891534,3917.421317,1492.062937
2500,-24,8,3.2,37.5,32.57923985,6787.341635,0.3402220962,3669.793508,1467.638532
3000,-24,8,3.2,45,32.5752972,8143.824301,0.3362554805,3371.294899,1436.029307
3500,-24,8,3.2,52.5,32.33027726,9429.664202,0.3352534586,3078.820156,1401.806805
4000,-24,8,3.2,60,31.87669148,10625.56383,0.3365239116,2815.849556,1368.024559
4500,-24,8,3.2,67.5,31.25204472,11719.51677,0.3395867055,2589.096305,1336.553416
5000,-24,8,3.2,75,30.49320811,12705.50338,0.3440948209,2397.621675,1308.300418
5500,-24,8,3.2,82.5,29.63342864,13581.98813,0.3497898583,2237.759078,1283.55097
6000,-24,8,3.2,90,28.70121273,14350.60636,0.3564748104,2105.094405,1262.327969
6500,-24,8,3.2,97.5,27.72026639,15015.1443,0.3639961178,1995.345909,1244.433754
7000,-24,8,3.2,105,26.70992613,15580.79024,0.3722313168,1904.592963,1229.643262
7500,-24,8,3.2,112.5,25.68575891,16053.59932,0.3810803482,1829.521987,1217.643626
8000,-24,8,3.2,120,24.66017178,16440.11452,0.3904593752,1767.195213,1208.162866
8500,-24,8,3.2,127.5,23.64296364,16747.09925,0.4002963608,1715.464349,1200.924768
9000,-24,8,3.2,135,22.64179844,16981.34883,0.4105278922,1672.11606,1195.699247
9500,-24,8,3.2,142.5,21.66260052,17149.55875,0.4210968885,1635.819242,1192.240732
10000,-24,8,3.2,150,20.70988135,17258.23446,0.4319509344,1605.109634,1190.351002
500,0,8,3.2,7.5,33.31038511,1387.932713,0.3197647321,3787.131769,1475.936171
1000,0,8,3.2,15,32.89987665,2741.656387,0.3224679946,3407.731924,1455.019097
1500,0,8,3.2,22.5,32.25522772,4031.903465,0.3268065947,2974.800136,1427.643833
2000,0,8,3.2,30,31.42269643,5237.116071,0.3325854734,2582.104768,1397.473757
2500,0,8,3.2,37.5,30.44963132,6343.673191,0.3396043458,2254.186914,1368.095267
3000,0,8,3.2,45,29.378416,7344.604001,0.3476819218,1988.532426,1341.165944
3500,0,8,3.2,52.5,28.24419539,8237.890323,0.3566642337,1776.550722,1317.212348
4000,0,8,3.2,60,27.0748521,9024.950702,0.3664238848,1609.582856,1296.431681
4500,0,8,3.2,67.5,25.891944,9709.479001,0.3768556732,1482.018632,1278.733264
5000,0,8,3.2,75,24.71187692,10296.61538,0.3878715379,1393.309101,1263.894072
5500,0,8,3.2,82.5,23.54699458,10792.37252,0.3993960532,1354.788905,1251.643461
6000,0,8,3.2,90,22.40648436,11203.24218,0.4113628225,1354.772421,1241.740363
6500,0,8,3.2,97.5,21.29709234,11535.92502,0.423711758,1354.772421,1233.932702
7000,0,8,3.2,105,20.22367544,11797.14401,0.4363871028,1354.772421,1228.014077
7500,0,8,3.2,112.5,19.18962498,11993.51561,0.4493360307,1354.772421,1223.780706
8000,0,8,3.2,120,18.19719288,12131.46192,0.4625076727,1354.772421,1221.041666
8500,0,8,3.2,127.5,17.24774553,12217.15309,0.4758524416,1354.772421,1219.624024
9000,0,8,3.2,135,16.34196388,12256.47291,0.4893215578,1354.772421,1219.412899
9500,0,8,3.2,142.5,15.48000335,12255.00265,0.5028666989,1354.772421,1220.268523
10000,0,8,3.2,150,14.66162321,12218.01934,0.5164397201,1354.772421,1222.098576
500,-120,8,3.5,7.5,4.114405377,171.4335574,0.9329602077,4914.026661,1844.733321
1000,-120,8,3.5,15,4.635477763,386.2898135,0.9242442171,4902.397089,1838.71391
1500,-120,8,3.5,22.5,5.201161601,650.1452001,0.9146381772,4879.86824,1831.657639
2000,-120,8,3.5,30,5.812969727,968.8282878,0.9042521392,4865.439099,1824.539662
2500,-120,8,3.5,37.5,6.47242095,1348.421031,0.8928819714,4841.489233,1816.42258
3000,-120,8,3.5,45,7.180862818,1795.215704,0.8805299373,4814.475027,1807.627834
3500,-120,8,3.5,52.5,7.939359558,2315.646538,0.8672308387,4790.813235,1798.478808
4000,-120,8,3.5,60,8.748557313,2916.185771,0.852864638,4763.845544,1788.618646
4500,-120,8,3.5,67.5,9.608498635,3603.186988,0.837499082,4740.111946,1778.388003
5000,-120,8,3.5,75,10.51835454,4382.647725,0.8210199583,4713.223491,1767.458809
5500,-120,8,3.5,82.5,11.47603053,5259.847327,0.8032924164,4677.047624,1755.528959
6000,-120,8,3.5,90,12.4775921,6238.796051,0.7846963048,4649.137382,1743.559287
6500,-120,8,3.5,97.5,13.51646237,7321.417119,0.7650307312,4615.716009,1730.893503
7000,-120,8,3.5,105,14.58241131,8506.406595,0.7445282449,4580.848767,1717.850993
7500,-120,8,3.5,112.5,15.66055154,9787.844712,0.7233922789,4543.218367,1704.517769
8000,-120,8,3.5,120,16.73089909,11153.93272,0.7022188857,4510.72019,1691.520071
8500,-120,8,3.5,127.5,17.76929365,12586.583,0.6812708923,4458.635041,1674.407073
9000,-120,8,3.5,135,18.75004289,14062.53217,0.6611143346,4379.818292,1650.516461
9500,-120,8,3.5,142.5,19.649508,15555.8605,0.6421473858,4283.86767,1621.771644
10000,-120,8,3.5,150,20.44910656,17040.92213,0.6246480041,4177.624602,1589.726888
500,-96,8,3.5,7.5,8.290039116,345.4182965,0.8610605535,4781.62328,1794.337657
1000,-96,8,3.5,15,9.073369055,756.1140879,0.8471601841,4759.922146,1785.019741
1500,-96,8,3.5,22.5,9.908327651,1238.540956,0.8321168401,4732.745405,1774.866027
2000,-96,8,3.5,30,10.79518535,1799.197558,0.815938828,4703.637171,1764.057367
2500,-96,8,3.5,37.5,11.73376523,2444.534424,0.798609306,4673.594342,1752.645927
3000,-96,8,3.5,45,12.72303,3180.757501,0.7800744693,4641.149041,1740.563431
3500,-96,8,3.5,52.5,13.76067819,4013.531139,0.7602278213,4602.471687,1727.630204
4000,-96,8,3.5,60,14.84258036,4947.526787,0.7394786628,4572.456809,1714.671303
4500,-96,8,3.5,67.5,15.96198046,5985.742673,0.7174635559,4534.107079,1700.86117
5000,-96,8,3.5,75,17.10842997,7128.512489,0.694546114,4495.453089,1686.730772
5500,-96,8,3.5,82.5,18.26655924,8372.172986,0.6710835274,4459.111422,1672.579368
6000,-96,8,3.5,90,19.41511035,9707.555177,0.6473923156,4422.537616,1658.497074
6500,-96,8,3.5,97.5,20.52709927,11118.84544,0.6240176745,4384.753055,1644.548548
7000,-96,8,3.5,105,21.57204218,12583.69127,0.6016548358,4315.079587,1624.243362
7500,-96,8,3.5,112.5,22.52018709,14075.11693,0.5808775746,4212.286762,1596.466351
8000,-96,8,3.5,120,23.34711531,15564.74354,0.5620549584,4090.515191,1563.683002
8500,-96,8,3.5,127.5,24.03669344,17025.99119,0.5453714119,3959.534802,1527.830253
9000,-96,8,3.5,135,24.58162844,18436.22133,0.5308646846,3825.763046,1490.4194
9500,-96,8,3.5,142.5,24.98225634,19777.6196,0.5184709168,3693.679807,1452.568382
10000,-96,8,3.5,150,25.24459449,21037.16207,0.508065159,3565.513019,1415.071723
500,-72,8,3.5,7.5,14.30655448,596.1064365,0.7498190399,4588.159354,1721.13758
1000,-72,8,3.5,15,15.37464575,1281.220479,0.7289936648,4551.915875,1707.987563
1500,-72,8,3.5,22.5,16.49040809,2061.301011,0.706896713,4514.62195,1694.262462
2000,-72,8,3.5,30,17.64878077,2941.463462,0.6837228377,4480.635407,1680.243396
2500,-72,8,3.5,37.5,18.84221334,3925.461114,0.6591167786,4436.951034,1665.321328
3000,-72,8,3.5,45,20.0593575,5014.839374,0.633849863,4400.233224,1650.494596
3500,-72,8,3.5,52.5,21.28366959,6207.736962,0.6078464681,4360.485446,1635.408989
4000,-72,8,3.5,60,22.49207184,7497.357281,0.5815920421,4319.129548,1620.38403
4500,-72,8,3.5,67.5,23.654452,8870.419498,0.5560059837,4282.385078,1606.070509
5000,-72,8,3.5,75,24.73525609,10306.3567,0.5317369722,4239.937045,1591.58407
5500,-72,8,3.5,82.5,25.69797576,11778.23889,0.5096567141,4141.260584,1568.248292
6000,-72,8,3.5,90,26.51140949,13255.70475,0.4903058387,4001.479277,1537.02852
6500,-72,8,3.5,97.5,27.15480634,14708.85343,0.4738503385,3843.029911,1501.089379
7000,-72,8,3.5,105,27.61968811,16111.48473,0.4602299058,3679.362062,1462.832558
7500,-72,8,3.5,112.5,27.90849537,17442.8096,0.4492539932,3518.648048,1424.109818
8000,-72,8,3.5,120,28.0316366,18687.75773,0.4406717257,3365.188291,1386.245386
8500,-72,8,3.5,127.5,28.0043907,19836.44341,0.434217049,3221.677145,1350.175521
9000,-72,8,3.5,135,27.84439122,20883.29341,0.4296342092,3088.475322,1316.662912
9500,-72,8,3.5,142.5,27.56985779,21826.13742,0.426689888,2965.795324,1286.283042
10000,-72,8,3.5,150,27.19847617,22665.39681,0.4251773237,2853.300435,1259.446624
500,-48,8,3.5,7.5,22.09074625,920.4477604,0.5902356485,4330.009087,1625.225142
1000,-48,8,3.5,15,23.3528396,1946.069967,0.5627354787,4292.842316,1609.835484
1500,-48,8,3.5,22.5,24.61129379,3076.411724,0.5345190892,4250.769513,1594.199109
2000,-48,8,3.5,30,25.83971349,4306.618916,0.5064334062,4210.011626,1578.927488
2500,-48,8,3.5,37.5,27.00394218,5625.821288,0.4793194327,4171.863465,1564.456246
3000,-48,8,3.5,45,28.06295494,7015.738736,0.453969616,4133.569957,1551.081463
3500,-48,8,3.5,52.5,28.9734228,8450.58165,0.4321751259,4080.199484,1536.952874
4000,-48,8,3.5,60,29.69751954,9899.17318,0.4141497367,3929.966948,1511.924613
4500,-48,8,3.5,67.5,30.2106867,11329.00751,0.4001076307,3730.6812,1479.101195
5000,-48,8,3.5,75,30.50528468,12710.53528,0.3896683268,3518.056627,1442.449987
5500,-48,8,3.5,82.5,30.58903459,14019.97419,0.3823463572,3311.191555,1404.931149
6000,-48,8,3.5,90,30.480396,15240.198,0.3776662974,3118.707178,1368.549313
6500,-48,8,3.5,97.5,30.20357211,16360.26822,0.375206148,2944.082035,1334.573928
7000,-48,8,3.5,105,29.78461662,17374.35969,0.3746086801,2787.827205,1303.771992
7500,-48,8,3.5,112.5,29.24893743,18280.58589,0.3755785459,2649.108581,1276.513108
8000,-48,8,3.5,120,28.61993798,19079.95865,0.3778739669,2526.419298,1252.924051
8500,-48,8,3.5,127.5,27.9184241,19775.5504,0.3812972611,2417.992311,1232.898555
9000,-48,8,3.5,135,27.16246791,20371.85093,0.3856860632,2322.038565,1216.237587
9500,-48,8,3.5,142.5,26.36751849,20874.28547,0.3909058723,2237.238813,1202.672235
10000,-48,8,3.5,150,25.54662956,21288.85797,0.3968440066,2161.974904,1191.904998
500,-24,8,3.5,7.5,30.17322911,1257.217879,0.4024655542,4063.235407,1524.689115
1000,-24,8,3.5,15,31.10036985,2591.697488,0.3793791678,4034.10641,1513.163164
1500,-24,8,3.5,22.5,31.83771096,3979.71387,0.3606655632,4009.720485,1503.920287
2000,-24,8,3.5,30,32.34413057,5390.688428,0.3476352267,3917.739942,1491.897675
2500,-24,8,3.5,37.5,32.59600255,6790.833864,0.3398150113,3672.831094,1467.918196
3000,-24,8,3.5,45,32.59217069,8148.042674,0.335921089,3376.604889,1436.753602
3500,-24,8,3.5,52.5,32.35146569,9435.844158,0.3349378147,3085.144461,1402.967254
4000,-24,8,3.5,60,31.90536102,10635.12034,0.3361879661,2822.656813,1369.518909
4500,-24,8,3.5,67.5,31.29029294,11733.85985,0.3392020656,2595.849202,1338.264947
5000,-24,8,3.5,75,30.54220554,12725.91897,0.3436406668,2404.02521,1310.122648
5500,-24,8,3.5,82.5,29.69361178,13609.57207,0.3492508025,2243.592872,1285.396002
6000,-24,8,3.5,90,28.77246649,14386.23324,0.3558394758,2110.251745,1264.127396
6500,-24,8,3.5,97.5,27.80207488,15059.45722,0.3632562271,1999.779215,1246.125166
7000,-24,8,3.5,105,26.80149053,15634.20281,0.3713811262,1908.364945,1231.171548
7500,-24,8,3.5,112.5,25.78608811,16116.30507,0.3801162986,1832.653321,1218.966779
8000,-24,8,3.5,120,24.76815244,16512.10163,0.3893798709,1769.916123,1209.25038
8500,-24,8,3.5,127.5,23.75741551,16828.16932,0.3991016127,1717.633612,1201.756226
9000,-24,8,3.5,135,22.76151884,17071.13913,0.4092197827,1674.010244,1196.247758
9500,-24,8,3.5,142.5,21.7864007,17247.56722,0.4196788312,1637.281538,1192.50324
10000,-24,8,3.5,150,20.8366162,17363.84684,0.4304277144,1606.365014,1190.334798
500,0,8,3.5,7.5,33.3132638,1388.052658,0.319745949,3790.44114,1476.089451
1000,0,8,3.5,15,32.91081519,2742.567933,0.3223953835,3416.50636,1455.548339
1500,0,8,3.5,22.5,32.27813381,4034.766727,0.3266504468,2987.713577,1428.563697
2000,0,8,3.5,30,31.45995054,5243.32509,0.3323225294,2597.103164,1398.720762
2500,0,8,3.5,37.5,30.50226709,6354.638978,0.3392171191,2269.314686,1369.540232
3000,0,8,3.5,45,29.446458,7361.614501,0.347157449,2003.28379,1342.73282
3500,0,8,3.5,52.5,28.32698289,8262.036675,0.3559929511,1790.139315,1318.808522
4000,0,8,3.5,60,27.17128816,9057.096053,0.3655988555,1621.731707,1297.983156
4500,0,8,3.5,67.5,26.00066884,9750.250816,0.3758721458,1492.201841,1280.182549
5000,0,8,3.5,75,24.83138368,10346.40986,0.3867267424,1400.463188,1265.196863
5500,0,8,3.5,82.5,23.6757065,10851.36548,0.3980891398,1355.587198,1252.765863
6000,0,8,3.5,90,22.54280788,11271.40394,0.4098948674,1354.772453,1242.644927
6500,0,8,3.5,97.5,21.43945585,11613.03859,0.4220857796,1354.772453,1234.607362
7000,0,8,3.5,105,20.37055924,11882.82623,0.4346080503,1354.772453,1228.442087
7500,0,8,3.5,112.5,19.33958573,12087.24108,0.4474107207,1354.772453,1223.941092
8000,0,8,3.5,120,18.34888384,12232.58923,0.4604446607,1354.772453,1220.945207
8500,0,8,3.5,127.5,17.39993313,12324.95263,0.473661828,1354.772453,1219.287167
9000,0,8,3.5,135,16.49354057,12370.15543,0.4870147317,1354.772453,1218.840102
9500,0,8,3.5,142.5,15.62999683,12373.74749,0.5004560315,1354.772453,1219.488516
10000,0,8,3.5,150,14.80920191,12341.00159,0.5139382203,1354.772453,1221.146706
500,-120,8,3.8,7.5,4.211537499,175.4807291,0.9313336437,4911.013053,1843.567412
1000,-120,8,3.8,15,4.740808697,395.0673915,0.9224680944,4899.024133,1837.443312
1500,-120,8,3.8,22.5,5.314408007,664.3010009,0.9127136611,4876.316236,1830.29447
2000,-120,8,3.8,30,5.933700663,988.9501105,0.9021834328,4861.546092,1823.079784
2500,-120,8,3.8,37.5,6.600063082,1375.013142,0.8906748765,4837.418658,1814.880241
3000,-120,8,3.8,45,7.314706525,1828.676631,0.8781928214,4810.276144,1806.01278
3500,-120,8,3.8,52.5,8.078566721,2356.248627,0.8647744513,4786.42083,1796.796174
4000,-120,8,3.8,60,8.892170094,2964.056698,0.8503018258,4759.320054,1786.881374
4500,-120,8,3.8,67.5,9.75544856,3658.29321,0.8348448677,4735.396686,1776.604111
5000,-120,8,3.8,75,10.66747179,4444.779914,0.8182916351,4708.383331,1765.643749
5500,-120,8,3.8,82.5,11.62605475,5328.608426,0.8005101403,4672.265548,1753.705335
6000,-120,8,3.8,90,12.62718863,6313.594316,0.781881394,4644.276088,1741.733836
6500,-120,8,3.8,97.5,13.66425237,7401.470033,0.7622075662,4610.898937,1729.087102
7000,-120,8,3.8,105,14.72702927,8590.767077,0.7417222707,4576.129979,1716.08084
7500,-120,8,3.8,112.5,15.80074513,9875.465708,0.7206290478,4538.681796,1702.801534
8000,-120,8,3.8,120,16.86567118,11243.78079,0.6995192112,4506.307689,1689.865383
8500,-120,8,3.8,127.5,17.89804984,12677.7853,0.6786511244,4454.42789,1672.85454
9000,-120,8,3.8,135,18.87267618,14154.50713,0.658582292,4375.853464,1649.126092
9500,-120,8,3.8,142.5,19.76637459,15648.37989,0.6397033918,4280.173144,1620.564235
10000,-120,8,3.8,150,20.56091107,17134.09256,0.6222867313,4174.221428,1588.724452
500,-96,8,3.8,7.5,8.43673196,351.5304983,0.8584593113,4776.946967,1792.5613
1000,-96,8,3.8,15,9.225228563,768.7690469,0.8444376656,4755.005669,1783.175153
1500,-96,8,3.8,22.5,10.0643889,1258.048612,0.8292858739,4727.689098,1772.968304
2000,-96,8,3.8,30,10.95436651,1825.727752,0.8130147058,4698.479484,1762.119633
2500,-96,8,3.8,37.5,11.89487869,2478.099728,0.7956096838,4668.358709,1750.681668
3000,-96,8,3.8,45,12.88479192,3221.197979,0.7770195458,4635.889985,1738.588812
3500,-96,8,3.8,52.5,13.92171849,4060.501226,0.7571409097,4597.319297,1725.666303
4000,-96,8,3.8,60,15.0014564,5000.485465,0.736383851,4567.268791,1712.725797
4500,-96,8,3.8,67.5,16.11720159,6043.950596,0.714389745,4529.063464,1698.959173
5000,-96,8,3.8,75,17.25850633,7191.044304,0.6915231421,4490.59083,1684.890012
5500,-96,8,3.8,82.5,18.4100934,8437.959474,0.6681409229,4454.425557,1670.814504
6000,-96,8,3.8,90,19.55094609,9775.473043,0.6445578817,4418.075901,1656.823087
6500,-96,8,3.8,97.5,20.65451116,11187.86021,0.6213128996,4380.558701,1642.979119
7000,-96,8,3.8,105,21.69089616,12653.02276,0.5990904388,4311.221634,1622.840662
7500,-96,8,3.8,112.5,22.63098041,14144.36276,0.5784530055,4208.874887,1595.298934
8000,-96,8,3.8,120,23.45086561,15633.91041,0.5597608664,4087.476246,1562.792931
8500,-96,8,3.8,127.5,24.13473646,17095.43833,0.5431930659,3956.869643,1527.218079
9000,-96,8,3.8,135,24.67541143,18506.55857,0.5287850435,3823.469077,1490.098002
9500,-96,8,3.8,142.5,25.07317932,19849.6003,0.5164727729,3691.553325,1452.501305
10000,-96,8,3.8,150,25.33391057,21111.59214,0.5061323816,3563.730365,1415.270005
500,-72,8,3.8,7.5,14.4726006,603.0250249,0.7466100536,4582.774698,1719.107531
1000,-72,8,3.8,15,15.53939086,1294.949238,0.7257595499,4546.591221,1705.971767
1500,-72,8,3.8,22.5,16.65239204,2081.549005,0.7036638173,4509.394286,1692.278191
2000,-72,8,3.8,30,17.80647549,2967.745915,0.6805193738,4475.465928,1678.304746
2500,-72,8,3.8,37.5,18.99404509,3957.092728,0.6559773532,4432.049632,1663.456017
3000,-72,8,3.8,45,20.20375171,5050.937928,0.6308068806,4395.506662,1648.714563
3500,-72,8,3.8,52.5,21.41913837,6247.248692,0.6049365298,4356.034153,1633.735545
4000,-72,8,3.8,60,22.61736679,7539.122265,0.5788498112,4315.033864,1618.835023
4500,-72,8,3.8,67.5,23.7687859,8913.294711,0.5534561462,4278.614046,1604.65313
5000,-72,8,3.8,75,24.83853908,10349.39128,0.5293928462,4236.530664,1590.314157
5500,-72,8,3.8,82.5,25.79094471,11820.84966,0.5075142811,4138.41454,1567.244416
6000,-72,8,3.8,90,26.59554803,13297.77401,0.4883468951,3999.212824,1536.361286
6500,-72,8,3.8,97.5,27.2320807,14750.71038,0.4720489554,3841.390332,1500.765254
7000,-72,8,3.8,105,27.69222817,16153.79977,0.4585576998,3678.13601,1462.877349
7500,-72,8,3.8,112.5,27.97833544,17486.45965,0.4476835717,3517.811258,1424.491584
8000,-72,8,3.8,120,28.1005563,18733.7042,0.4391784303,3364.719162,1386.914509
8500,-72,8,3.8,127.5,28.07384299,19885.63878,0.4327795605,3221.301074,1351.118844
9000,-72,8,3.8,135,27.91548858,20936.61644,0.4282345397,3088.178617,1317.815152
9500,-72,8,3.8,142.5,27.64339105,21884.35125,0.4253131077,2965.567025,1287.577831
10000,-72,8,3.8,150,27.27494889,22729.12407,0.4238112108,2853.173509,1260.80919
500,-48,8,3.8,7.5,22.22601227,926.0838445,0.5872947251,4325.630765,1623.555991
1000,-48,8,3.8,15,23.4782125,1956.517709,0.559952403,4288.699133,1608.281427
1500,-48,8,3.8,22.5,24.72528157,3090.660196,0.531937308,4247.00356,1592.78392
2000,-48,8,3.8,30,25.94110382,4323.517303,0.504090663,4206.657213,1577.666411
