configuration_id,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
C01,1,31000001,1,2934.6931528602413,-26.185480782723914,37.19533392884253,9096.4076499437,0.5003827381147443,False
C01,1,31000001,2,4780.744852360715,-33.307202069782946,35.98619733374238,14336.73563827715,0.4031273702339989,True
C01,1,31000001,3,5726.955825808468,-42.942741594112164,35.104195113205215,16753.347892823982,0.405110320743597,False
C01,1,31000001,4,6070.659307021625,-33.28318334769526,34.14025563949195,17271.155053498274,0.4686205888243649,False
C01,1,31000001,5,7535.200767344535,-54.341049608595114,33.33815163571056,20934.138815604558,0.49280744546311284,False
C01,1,31000001,6,7576.836604350144,-54.341049608595114,33.296988469528515,21023.820087545693,0.4957384011177526,False
C01,1,31000001,7,8096.235412244391,-60.871929058964355,32.720113535613145,22075.811824974015,0.5404861698978652,False
C01,1,31000001,8,8535.232154492358,-60.871929058964355,32.31645167841564,22985.701457059306,0.5729567808979978,False
C01,1,31000001,9,8799.905875780913,-62.140034401361405,32.04319857685046,23498.094286270076,0.596268075128826,False
C01,1,31000001,10,9277.725365589073,-66.96452394887304,31.548626621525322,24391.624454668687,0.6398131193228851,False
C01,1,31000001,11,9654.19205016265,-69.85547838302756,31.159478800186086,25068.29937666401,0.6750309236861307,False
C01,1,31000001,12,9990.805800208218,-70.45420693558654,30.819807015802965,25659.558891231845,0.706300929323778,False
C01,2,31000002,1,523.6688047783517,-3.7580531497708733,38.43158501999553,1677.1185160965554,0.7049332063463832,False
C01,2,31000002,2,4526.9928097169795,-35.59712264440071,36.14475098006015,13635.585649645256,0.41254336912610895,False
C01,2,31000002,3,5648.728519004666,-36.24461877679444,35.077002915218266,16511.705560700266,0.4116429588328185,True
C01,2,31000002,4,6226.49847544961,-43.18121475276031,34.6332163425629,17970.30572974037,0.418989677176723,False
C01,2,31000002,5,6987.449062451763,-48.80490613918984,33.88518012914634,19730.914177034392,0.4566815830316753,False
C01,2,31000002,6,8108.39734884247,-63.863479265533684,32.58126921627678,22015.15641126512,0.5534647288988443,False
C01,2,31000002,7,8614.1672514856,-61.642960737255144,32.23494146229418,23139.764758170822,0.5798470930800418,False
C01,2,31000002,8,8946.504295822706,-63.687478431114414,31.893455669637312,23777.91151308677,0.6092719404552085,False
C01,2,31000002,9,8970.784783790768,-63.687478431114414,31.868387397607457,23823.703729200537,0.6114662502214686,False
C01,2,31000002,10,9507.063239699535,-63.91229815135395,31.264365125001447,24769.358032703785,0.6655992195004853,False
C01,2,31000002,11,9982.350781721509,-70.95107542360651,30.82921148699515,25645.666948921975,0.7054290254806787,False
C01,3,31000003,1,563.6493007011076,-4.49436011597281,38.42406737433397,1804.8082254696326,0.7011831116035022,False
C01,3,31000003,2,4707.340530759114,-31.34280543572683,36.010570980072075,14126.168359189269,0.4069992977991645,False
C01,3,31000003,3,4968.333348201277,-42.84315079965447,35.45620152251822,14679.852368739346,0.42502233000045514,False
C01,3,31000003,4,5670.995667391382,-43.42175939082439,35.130296625570004,16601.979996481798,0.4061709945551884,True
C01,3,31000003,5,6219.7545838367805,-42.84315079965447,34.634071672493995,17951.28550349384,0.4192250397844172,False
C01,3,31000003,6,6755.635563853446,-44.49687657993819,34.039365055963735,19163.128761921565,0.4503287901648793,False
C01,3,31000003,7,7306.636611253109,-51.580009319138966,33.56916414343081,20439.806978296387,0.47677672600261456,False
C01,3,31000003,8,7974.7545850897295,-51.53232226610547,32.752226861341136,21765.91427786493,0.5394299379104367,False
C01,3,31000003,9,8301.86904942722,-57.53114465467827,32.543684798385335,22514.450798502527,0.5542397502890581,False
C01,3,31000003,10,8553.150699145852,-58.283271829457355,32.266772698546106,22998.547455479158,0.5774694970120745,False
C01,3,31000003,11,9963.442433628841,-86.44485491585505,29.94802028143819,24865.448006271534,0.7875221255655613,False
C01,4,31000004,1,1652.081755313587,-11.542138184435828,38.12031984355541,5248.157076688031,0.6007461967512833,False
C01,4,31000004,2,2336.4224784266926,-9.999258423641166,37.30609735657598,7263.567037189894,0.5508744878000241,False
C01,4,31000004,3,3714.395107268492,-26.672727545678683,36.87803485271139,11414.96601854901,0.4430791525072796,False
C01,4,31000004,4,4958.1716568208185,-38.16929378825421,35.790494846878595,14787.951427782084,0.4030291212964355,False
C01,4,31000004,5,5359.500820353009,-41.363863009012775,35.41403432201268,15816.795500069715,0.40294162960592916,True
C01,4,31000004,6,5848.308328476902,-45.6362497916643,34.922721024677905,17019.90335180827,0.4132241109700158,False
C01,4,31000004,7,6143.1962609097545,-44.093302031394884,34.727060469530116,17777.92900240036,0.41482510493204905,False
C01,4,31000004,8,6791.171620322411,-41.32995946497812,33.78811300768702,19121.739513504217,0.47202449391235035,False
C01,4,31000004,9,7138.060528281144,-41.36542607352274,33.235283920756764,19769.622358414235,0.512513069731371,False
C01,4,31000004,10,8997.281626322834,-68.84297695200841,31.743058699287523,23800.1032331989,0.6231066231365219,False
C01,4,31000004,11,9988.386619193718,-76.21548198904881,30.718631290918246,25569.130478846102,0.7156920625929676,False
C01,5,31000005,1,1975.0410682254112,-14.868946266461407,37.976283974952594,6250.393372426828,0.572180497647495,False
C01,5,31000005,2,3925.892990431597,-28.41851600749014,36.71295014652053,12010.926136524135,0.43199015521258005,False
C01,5,31000005,3,5861.104477980817,-42.08257238995003,34.99903768209195,17094.418040294044,0.40630583360721273,True
C01,5,31000005,4,6584.505840653916,-46.38538148056158,34.29093983389968,18815.741134818698,0.43396201362744835,False
C01,5,31000005,5,7274.276391317782,-50.992267956920884,33.598731909006844,20367.205191991994,0.4748776494856496,False
C01,5,31000005,6,7782.05993300578,-56.15408391301375,33.08635827633815,21456.66858928044,0.5113168215252548,False
C01,5,31000005,7,8229.50950860912,-58.537973828321,32.63033450915427,22377.63734268178,0.54701538359642,False
C01,5,31000005,8,8335.76625942373,-63.684443495851966,32.43705445064944,22532.308670401162,0.5639065982938667,False
C01,5,31000005,9,8685.431466014656,-63.217236060683156,32.15374763737636,23272.430956663586,0.5868349535791032,False
C01,5,31000005,10,9151.94727415963,-65.37580472170112,31.681739507388393,24162.467460439886,0.627928926000217,False
C01,5,31000005,11,9549.131579289497,-59.560513979795815,31.003901229882203,24671.69435962005,0.689856258851243,False
C01,5,31000005,12,9925.12982062513,-72.21109193339542,30.876393811428862,25537.684747598152,0.7010638857536918,False
C01,6,31000006,1,4123.814624652001,-29.521699882178225,36.55337685544941,12561.612504743185,0.42289218788962185,False
C01,6,31000006,2,4677.804285172191,-29.521699882178225,35.95363095436736,14015.337412153263,0.4126387786484115,False
C01,6,31000006,3,5135.59571301905,-32.72934815271948,35.55106833515374,15214.6595112719,0.4073799756277154,True
C01,6,31000006,4,5357.813758596129,-32.7660758648187,35.24490404880176,15736.30265275587,0.4156601557808996,False
C01,6,31000006,5,6267.756222893038,-44.82555079665798,34.605727465082666,18075.02197225103,0.41949244222759996,False
C01,6,31000006,6,6870.56352772134,-49.525102553170655,34.008978630468214,19471.737349462448,0.4491278495217493,False
C01,6,31000006,7,7108.3422164587255,-52.535502674371656,33.75520271674649,19995.294374714274,0.46500115928195296,False
C01,6,31000006,8,7643.701569010742,-60.16635171643415,33.07083107623256,21065.296948824,0.5156137304150352,False
C01,6,31000006,9,8311.716341668465,-57.70166108020136,32.53509478308047,22535.20658218853,0.5549235773617761,False
C01,6,31000006,10,8763.329287522083,-63.90343868555719,32.07190114267701,23421.3858825112,0.5938682763547792,False
C01,6,31000006,11,9336.349036376985,-64.86143278075889,31.483164588541925,24494.817780694284,0.6457045499825125,False
C01,6,31000006,12,9994.848092186327,-68.17596179133506,30.788106819979166,25643.537559308133,0.7092417143584215,False
C01,7,31000007,1,1147.5590138084015,-8.554360540859406,38.297828859361665,3662.418226404334,0.6467419764837314,False
C01,7,31000007,2,3753.6160345478443,-26.642427913721775,36.846334056719265,11525.582527467312,0.44098210130897203,False
C01,7,31000007,3,4859.695717865951,-34.68309993022794,35.92475073415198,14548.613109013339,0.4012800774685911,True
C01,7,31000007,4,5339.501921690609,-34.68309993022794,35.395525989795445,15749.539920146892,0.40555514850838054,False
C01,7,31000007,5,6021.103983046908,-43.090739050352894,34.84524700950178,17483.904629930377,0.4107825472539609,False
C01,7,31000007,6,7020.313766757254,-48.19548149982981,33.83746243875701,19795.80028257811,0.4600553881112816,False
C01,7,31000007,7,7237.544779736145,-50.905965215577865,33.63747086986709,20287.72514147776,0.47226246714226594,False
C01,7,31000007,8,8134.989986632638,-57.206216457932484,32.724278858042176,22184.306735828937,0.539492380639751,False
C01,7,31000007,9,9171.79278939649,-56.70256359372006,31.36172540425106,23970.270577145217,0.6579460978548122,False
C01,7,31000007,10,9998.005196669159,-68.82883609348845,30.79634125446272,25658.498325042925,0.708477487289099,False
