algorithm,display_name,framework,runs,fixed_cardinality_limit,front_size_before_hv48_mean,front_size_hv48_mean,hypervolume_48_mean,hypervolume_48_std,hypervolume_48_median,hypervolume_48_q1,hypervolume_48_q3,hypervolume_48_iqr,hypervolume_48_min,hypervolume_48_max,representative_run,representative_seed,representative_hypervolume_48,runtime_seconds_mean,runtime_seconds_std,hv48_compromise_engine_speed_rpm_mean,hv48_compromise_engine_speed_rpm_std,hv48_compromise_ignition_timing_degrees_mean,hv48_compromise_ignition_timing_degrees_std,hv48_compromise_compression_ratio_mean,hv48_compromise_compression_ratio_std,hv48_compromise_connecting_rod_to_crank_ratio_mean,hv48_compromise_connecting_rod_to_crank_ratio_std,hv48_compromise_thermal_efficiency_percent_mean,hv48_compromise_thermal_efficiency_percent_std,hv48_compromise_net_specific_power_kw_per_kg_mean,hv48_compromise_net_specific_power_kw_per_kg_std
NSGA-II,NSGA-II,DEAP,21,48,46.23809523809524,46.23809523809524,0.8459565709898345,0.00014842990985717284,0.8459673149785972,0.8458573951925217,0.8460614402921556,0.00020404509963389827,0.8456975296809717,0.8462593667344742,9,20260727,0.8459673149785972,23.874271085713968,2.3912889455117834,5231.336767032581,149.72409432266844,-38.08079303379891,1.2709187890544509,11.99963441316197,0.000624989789110426,4.389051691187682,0.03226699213649001,35.526981774232794,0.13936691812814625,15486.148331311853,382.27339195364453
NSGA-III,NSGA-III,DEAP,21,48,47.285714285714285,47.285714285714285,0.8449769527391692,0.0007547515096707762,0.8452023270347186,0.8446632121761888,0.8454136975833627,0.0007504854071739286,0.8432544931370926,0.8463495753550252,21,20270739,0.8452023270347186,25.159764928571217,2.7518064080924387,5200.867400521357,150.92769716338728,-37.49390841159226,1.3129952128539513,11.999400088281307,0.0011043987363652554,4.38321019497325,0.026727565081465298,35.558088735681956,0.14193027646542672,15409.376977151229,384.6362960945467
MOPSO,MOPSO adaptado,NumPy + Pareto repository,21,48,191.95238095238096,48.0,0.8446052566937319,0.0007019521084184487,0.8447414034570588,0.844263558552079,0.8450135130475114,0.0007499544954323589,0.8429907124121432,0.8457894705855356,17,20280735,0.8447414034570588,23.886890785714577,1.951715278094437,5232.855766397198,131.7746707707553,-37.162046686118,1.3255314824975595,11.986893312804385,0.0120542791844346,4.167188775048943,0.1072523700051366,35.49052188249937,0.12816854769904457,15475.06270555358,333.6094221066383
MOEA/D,MOEA/D,pymoo,21,48,47.57142857142857,47.57142857142857,0.8401893913873868,0.004676480762054839,0.8413349412051836,0.838069606944772,0.8439838333369301,0.005914226392158106,0.8309871452438093,0.8446616330411624,6,20290724,0.8413349412051836,139.55405777618995,3.1924141660201144,5166.366319766222,133.55216743904964,-37.30129444111285,1.0993602338603126,11.999815335713699,0.0003465409093985515,4.385093049540244,0.026471972715047344,35.590479707989324,0.12438228446358948,15321.470798964216,343.41409098447815
