algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
NSGA-II,NSGA-II,DEAP,9,20260727,4848,48,45,45,False,0.8459673149785972,0.8459673149785972,22.611779800001383,0.39963394364377125,35.35563019103464,15960.153169103784,5417.011010535201,-39.814293276706536,11.999977908172106,4.398674293854029,True
NSGA-III,NSGA-III,DEAP,21,20270739,4848,48,48,48,False,0.8452023270347188,0.8452023270347186,23.284183600000688,0.39847681917569455,35.558448566508915,15426.911680326964,5206.15908811847,-37.72320755833261,11.9998993381049,4.3997724971253,True
MOPSO,MOPSO adaptado,NumPy + Pareto repository,17,20280735,4848,48,192,48,True,0.8461266196066245,0.8447414034570588,21.92144090000147,0.4030086325236474,35.44407635479275,15539.364657374954,5261.030757916328,-35.78557523483457,11.998185240894204,4.095487736977068,True
MOEA/D,MOEA/D,pymoo,6,20290724,4848,48,48,48,False,0.8413349412051834,0.8413349412051836,143.48365390000254,0.39865035892389855,35.47669618600597,15647.15859686228,5292.654709950498,-37.64258305066247,11.998982184314915,4.39903631695984,True
