algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
NSGA-II,DEAP,4,20260722,22,5260.942620864503,-37.96149657897686,11.99915405121099,4.399781891339401,35.507344222284146,15566.841714393466,0.39850729418356445,True
NSGA-III,DEAP,12,20270730,14,5239.139079120767,-37.40644327079764,11.999900167377035,4.399923718281528,35.528122797078424,15511.39804616458,0.3984512615860001,True
MOPSO,PySwarm + Pareto repository,9,20280727,89,5225.879666477554,-38.19449170303838,11.999870514169878,4.289443385845703,35.52623777607462,15471.320301702921,0.3994474415426925,True
MOEA/D,pymoo,5,20290723,8,5245.339046203388,-38.00725042725665,11.99975228843999,4.394234119408685,35.52125718386253,15526.753106395561,0.39853306310364345,True
