algorithm,framework,runs,evaluations_per_run_mean,front_size_mean,front_size_std,hypervolume_mean,hypervolume_std,hypervolume_best,runtime_seconds_mean,runtime_seconds_std,runtime_seconds_min,runtime_seconds_max,thermal_efficiency_percent_mean,thermal_efficiency_percent_std,net_specific_power_kw_per_kg_mean,net_specific_power_kw_per_kg_std,best_thermal_efficiency_percent,best_net_specific_power_kw_per_kg,best_compromise_score,best_run,best_seed,engine_speed_rpm_mean,engine_speed_rpm_std,best_engine_speed_rpm,ignition_timing_degrees_mean,ignition_timing_degrees_std,best_ignition_timing_degrees,compression_ratio_mean,compression_ratio_std,best_compression_ratio,connecting_rod_to_crank_ratio_mean,connecting_rod_to_crank_ratio_std,best_connecting_rod_to_crank_ratio
NSGA-II,DEAP,21,4848.0,46.23809523809524,1.2611408289624877,0.8459565709898342,0.00014842990985722832,0.8462593667344743,23.874271085713968,2.391288945511783,21.441038400000252,31.111568099997385,35.526981774232794,0.13936691812814625,15486.148331311853,382.27339195364505,35.507344222284146,15566.841714393466,0.39850729418356445,4,20260722,5231.336767032581,149.72409432266852,5260.942620864503,-38.08079303379891,1.2709187890544518,-37.96149657897686,11.99963441316197,0.0006249897891102296,11.99915405121099,4.389051691187682,0.03226699213648998,4.399781891339401
NSGA-III,DEAP,21,4848.0,47.285714285714285,1.230563169563316,0.8449769527391692,0.0007547515096708786,0.8463495753550252,25.159764928571217,2.7518064080924387,21.963574999997945,34.5222806999991,35.558088735681956,0.14193027646542672,15409.376977151229,384.63629609454676,35.528122797078424,15511.39804616458,0.3984512615860001,12,20270730,5200.867400521357,150.92769716338728,5239.139079120767,-37.49390841159226,1.3129952128539506,-37.40644327079764,11.999400088281305,0.0011043987363654878,11.999900167377035,4.38321019497325,0.02672756508146527,4.399923718281528
MOPSO,PySwarm + Pareto repository,21,4848.0,191.95238095238096,0.21821789023599233,0.845921809226107,0.0007169088976477474,0.84713872090452,23.886890785714577,1.951715278094437,21.870566000001418,27.47336720000021,35.57041409015575,0.09806487963720709,15292.453434888219,264.33655599874186,35.52623777607462,15471.320301702921,0.3994474415426925,9,20280727,5159.317320447772,103.40215062609788,5225.879666477554,-37.06711805445234,1.1081777858218764,-38.19449170303838,11.986556404594268,0.010935989045467148,11.999870514169878,4.220596290234118,0.08144123410972914,4.289443385845703
MOEA/D,pymoo,21,4848.0,47.57142857142857,0.9258200997725514,0.8401893913873867,0.004676480762054926,0.8446616330411623,139.55405777618995,3.192414166020113,134.96952709999823,144.792881399997,35.590479707989324,0.12438228446358948,15321.470798964216,343.4140909844778,35.52125718386253,15526.753106395561,0.39853306310364345,5,20290723,5166.366319766221,133.5521674390497,5245.339046203388,-37.30129444111285,1.0993602338603126,-38.00725042725665,11.999815335713699,0.00034654090939899496,11.99975228843999,4.385093049540244,0.026471972715047344,4.394234119408685
