factor,degrees_of_freedom,sum_of_squares,f_statistic,p_value,partial_eta_squared,main_effect_share_percent
mutation_probability_per_variable,2,0.0027872242744528958,18.978849055905233,2.299305065957991e-08,0.1395720671830545,40.046906881836364
population_size,3,0.0022835083356008944,10.36595450092312,1.974995312167456e-06,0.11730710723907625,32.80950389170114
mutation_eta,2,0.0016010628137529577,10.90200374248851,2.9723234945619993e-05,0.08523716144774447,23.004109860130026
crossover_probability,2,0.00020693148511400153,1.4090439211834969,0.24644244615439176,0.011899799833882601,2.9731966642358465
crossover_eta,2,8.117209820348442e-05,0.5527194253707632,0.5761322912859161,0.0047018854865510905,1.166282702096621
